"CategoryId,CategoryTitle,CategoryHelp,QuestionCode,QuestionTitle,QuestionHelp,Role,Version"
"1,""ライン変更・立ち上げリスク"",""新製品立ち上げやライン改造など、「ラインの切り替え」に関する設問です。"",""Q1-1"",""ライン変更時のトラブル"",""新製品立ち上げやライン改造など、「ラインの切り替え」に伴うトラブルや想定外のやり直しは、あなたの業務にとってどの程度困りごとになっていますか？"",""Pain"",""1"""
"1,""ライン変更・立ち上げリスク"",""新製品立ち上げやライン改造など、「ラインの切り替え」に関する設問です。"",""Q1-2"",""ライン変更リスクの見える化・シミュレーション"",""ライン変更や新製品立ち上げに伴うリスクや影響を、事前にシミュレーションしながら計画・検証できる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
"2,""ショップフロアデータ活用"",""設備状態・空調・エネルギー・環境などの現場データ活用に関する設問です。"",""Q2-1"",""現場データの未活用"",""設備状態・空調・エネルギー・環境などの現場データを活かしきれず、問題発見や対策が後追い・場当たりになってしまうことは、あなたの業務にとってどの程度の困りごとになっていますか？"",""Pain"",""1"""
"2,""ショップフロアデータ活用"",""設備状態・空調・エネルギー・環境などの現場データ活用に関する設問です。"",""Q2-2"",""現場データ活用の仕組み"",""ショップフロアで取得しているデータ（稼働率、エネルギー、環境など）を、会議や定例レビューで継続的に活用できる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
"3,""サプライチェーン連携（外部）"",""設備メーカーやサプライヤとの連携状況に関する設問です。"",""Q3-1"",""サプライヤとの個別対応の多さ"",""設備メーカーやサプライヤとのやりとりが標準やルールが曖昧なまま個別対応になり、その結果として再作業や遅延やコスト増が発生していることは、どの程度の困りごとになっていますか？"",""Pain"",""1"""
"3,""サプライチェーン連携（外部）"",""設備メーカーやサプライヤとの連携状況に関する設問です。"",""Q3-2"",""サプライヤとの共通データ連携"",""設備メーカーやサプライヤと、共通のデジタルデータ（3Dモデルや仕様など）を使って標準化されたやりとりができる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
"4,""社内コラボ・ハンドオーバー"",""生産ライン設計、物流、品質、環境安全など社内関係部門との連携に関する設問です。"",""Q4-1"",""部門間連携不足による手戻り"",""生産ライン設計、物流、品質、環境安全などの関係部門との連携不足や引き継ぎ不備により、手戻りや段取り替えや品質問題が発生することは、どの程度の困りごとになっていますか？"",""Pain"",""1"""
"4,""社内コラボ・ハンドオーバー"",""生産ライン設計、物流、品質、環境安全など社内関係部門との連携に関する設問です。"",""Q4-2"",""部門横断の情報共有と引き継ぎ"",""プロジェクトの企画から設計、施工、立ち上げ、運用までの流れの中で、関係部門と一貫したデジタル情報を共有・引き継ぎできる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
"5,""変更管理・生産計画"",""頻繁な変更や生産計画の見直しに関する設問です。"",""Q5-1"",""頻繁な生産変更への対応負荷"",""生産計画やライン構成の変更が頻繁に発生し、そのたびに計画の見直しや調整作業が、人手とExcel中心で回らなくなっている状況は、どの程度の困りごとになっていますか？"",""Pain"",""1"""
"5,""変更管理・生産計画"",""頻繁な変更や生産計画の見直しに関する設問です。"",""Q5-2"",""変更管理・生産計画の一元管理"",""生産計画やライン変更や設備変更などを、一元的なワークフローやツール上で計画・管理できる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
"6,""投資・リソース意思決定"",""設備投資や人員・リソース配分の判断に関する設問です。"",""Q6-1"",""勘頼みの投資判断"",""設備投資や人員・リソース配分の意思決定に必要なデータやKPIが揃わず、経験と勘に頼った判断になってしまうことは、どの程度の困りごとになっていますか？"",""Pain"",""1"""
"6,""投資・リソース意思決定"",""設備投資や人員・リソース配分の判断に関する設問です。"",""Q6-2"",""投資・リソース判断を支えるデータ"",""Capex／OpexやROIやリスク（衝突やボトルネックなど）を踏まえて、設備やリソース投資を比較検討できる仕組み（デジタルモデルや分析）は、どの程度できていると思いますか？"",""Maturity"",""1"""
"7,""工場全体最適・デジタルファクトリー"",""工場全体のデジタルモデルやボトルネック可視化に関する設問です。"",""Q7-1"",""工場全体の見通しの悪さ"",""工場全体としてのライン配置や物流動線やボトルネックや衝突リスクなどを事前に俯瞰して把握できず、導入してから問題に気づくケースは、どの程度の困りごとになっていますか？"",""Pain"",""1"""
"7,""工場全体最適・デジタルファクトリー"",""工場全体のデジタルモデルやボトルネック可視化に関する設問です。"",""Q7-2"",""デジタルファクトリーによる全体最適"",""工場全体のデジタルモデル（デジタルファクトリー）を用いて、ライン配置や物流や能力計画をシミュレーションしながら最適化できる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
"8,""マルチサプライヤ設備統合"",""複数設備メーカーからのデータ統合や干渉チェックに関する設問です。"",""Q8-1"",""複数設備メーカー対応の手戻り"",""複数の設備メーカーから2D図面やバラバラな形式のデータしか提供されず、IFM側でデータ変換や再モデリングや干渉チェックをやり直す負担は、どの程度の困りごとになっていますか？"",""Pain"",""1"""
"8,""マルチサプライヤ設備統合"",""複数設備メーカーからのデータ統合や干渉チェックに関する設問です。"",""Q8-2"",""マルチサプライヤ設備統合"",""複数の設備メーカーからのデータを一つの工場モデル上で統合し、配置や干渉や能力をまとめて検証できる仕組みは、どの程度できていると思いますか？"",""Maturity"",""1"""
